Title,Genre
A Family Affair,romance
Drawing Closer,romance
Mother of the Bride,romance
The Idea of You,romance
Challengers,romance
The Tearsmith,romance
Love Lies Bleeding,romance
Through My Window 3: Looking at You,romance
Float,romance
Upgraded,romance
Poor Things,romance
Anyone But You,romance
Napoleon,romance
"Red, White & Royal Blue",romance
"Miraculous: Ladybug & Cat Noir, The Movie",romance
Elemental,romance
My Fault,romance
The Little Mermaid,romance
Titanic,romance
The Next 365 Days,romance
365 Days: This Day,romance
Am I OK?,romance
Last Christmas,romance
Crazy Rich Asians,romance
Fifty Shades Freed,romance
The Layover,romance
Beauty and the Beast,romance
Passengers,romance
Allied,romance
Me Before You,romance
Brooklyn,romance
Cinderella,romance
Fifty Shades of Grey,romance
"Crazy, Stupid, Love.",romance
Twilight,romance
Virgin Territory,romance
Corpse Bride,romance
The Notebook,romance
"Not Love, Just Frenzy",romance
Get Real,romance
Forrest Gump,romance
True Romance,romance
Teen Witch,romance
Manhattan,romance
Grease,romance
Gilda,romance
Casablanca,romance
Wings,romance
A Quiet Place: Day One,thriller
Trigger Warning,thriller
Wild Eyed and Wicked,thriller
Bad Boys: Ride or Die,thriller
Under Paris,thriller
Silence of the Prey,thriller
Breathe,thriller
Boy Kills World,thriller
Sayen: The Huntress,thriller
Abigail,thriller
Immaculate,thriller
Road House,thriller
No Way Up,thriller
The Night They Came Home,thriller
Death Whisperer,thriller
MR-9: Do or Die,thriller
The Roundup: No Way Out,thriller
Fast X,thriller
Black Lotus,thriller
Mercy,thriller
Hunt Club,thriller
Cocaine Bear,thriller
Top Gunner: Danger Zone,thriller
X,thriller
The Batman,thriller
Meteor,thriller
A Quiet Place Part II,thriller
The Dry,thriller
Tenet,thriller
Bad Boys for Life,thriller
Joker,thriller
I Am Mother,thriller
Brightburn,thriller
Bird Box,thriller
Death Wish,thriller
Bright,thriller
Detroit,thriller
Allied,thriller
Gravity,thriller
xXx,thriller
Planet of the Apes,thriller
"Not Love, Just Frenzy",thriller
Bad Boys,thriller
Misery,thriller
RoboCop,thriller
The Terminator,thriller
The Omen,thriller
The Big Sleep,thriller
Big City Greens the Movie: Spacecation,tv-movie
South Park: The End of Obesity,tv-movie
Craig Before the Creek,tv-movie
Teen Wolf: The Movie,tv-movie
How to Murder Your Husband: The Nancy Brophy Story,tv-movie
"Miraculous World: New York, United HeroeZ",tv-movie
The Survivor,tv-movie
Switched Before Birth,tv-movie
Pom Poms and Payback,tv-movie
Girl in the Basement,tv-movie
Z-O-M-B-I-E-S 2,tv-movie
Upside-Down Magic,tv-movie
Expectant,tv-movie
Ghosting The Spirit of Christmas,tv-movie
Steven Universe: The Movie,tv-movie
Descendants 3,tv-movie
Down,tv-movie
Megalodon,tv-movie
Believe Me: The Abduction of Lisa McVey,tv-movie
Z-O-M-B-I-E-S,tv-movie
Cocaine Godmother,tv-movie
Game of Thrones - Conquest & Rebellion: An Animated History of the Seven Kingdoms,tv-movie
Descendants 2,tv-movie
From Straight A's to XXX,tv-movie
Ice Age: The Great Egg-Scapade,tv-movie
Descendants,tv-movie
The Nine Lives of Christmas,tv-movie
